word,phonetic,part_of_speech,meaning,difficulty,category
attach,/əˈtætʃ/,v.,附上；贴上；使依恋,medium,CET4
attack,/əˈtæk/,v.,攻击；n. 进攻,easy,CET4
attempt,/əˈtempt/,v.,尝试；n. 企图,medium,CET4
attitude,/ˈætɪtjuːd/,n.,态度；看法,easy,CET4
attract,/əˈtrækt/,v.,吸引,easy,CET4
audience,/ˈɔːdiəns/,n.,观众；听众,easy,CET4
authority,/ɔːˈθɒrəti/,n.,权威；当局,medium,CET4
automatic,/ˌɔːtəˈmætɪk/,adj.,自动的,medium,CET4
available,/əˈveɪləbl/,adj.,可获得的；有空的,easy,CET4
average,/ˈævərɪdʒ/,n.,平均数；adj. 平均的,easy,CET4
avoid,/əˈvɔɪd/,v.,避免；回避,easy,CET4
awake,/əˈweɪk/,adj.,醒着的；v. 唤醒,easy,CET4
award,/əˈwɔːd/,n.,奖品；v. 授予,easy,CET4
aware,/əˈweər/,adj.,意识到的；知道的,medium,CET4
awkward,/ˈɔːkwəd/,adj.,尴尬的；笨拙的,medium,CET4
background,/ˈbækɡraʊnd/,n.,背景；经历,easy,CET4
bacteria,/bækˈtɪəriə/,n.,细菌,medium,CET4
balance,/ˈbæləns/,n.,平衡；余额；v. 使平衡,easy,CET4
ban,/bæn/,v.,禁止；n. 禁令,easy,CET4
bargain,/ˈbɑːɡɪn/,n.,便宜货；交易；v. 讨价还价,medium,CET4
barrier,/ˈbæriər/,n.,障碍；屏障,medium,CET4
basic,/ˈbeɪsɪk/,adj.,基本的；基础的,easy,CET4
behave,/bɪˈheɪv/,v.,表现；举止,easy,CET4
belief,/bɪˈliːf/,n.,信念；相信,easy,CET4
benefit,/ˈbenɪfɪt/,n.,利益；好处；v. 受益,easy,CET4
betray,/bɪˈtreɪ/,v.,背叛；泄露,medium,CET4
beyond,/bɪˈjɒnd/,prep.,超出；在……之外,easy,CET4
billion,/ˈbɪljən/,num.,十亿,easy,CET4
biology,/baɪˈɒlədʒi/,n.,生物学,easy,CET4
blame,/bleɪm/,v.,责备；归咎于,easy,CET4
blank,/blæŋk/,adj.,空白的；n. 空白,easy,CET4
bleed,/bliːd/,v.,流血,medium,CET4
bless,/bles/,v.,祝福,medium,CET4
block,/blɒk/,n.,街区；块；v. 阻塞,easy,CET4
board,/bɔːd/,n.,木板；董事会；登机,easy,CET4
boast,/bəʊst/,v.,吹嘘；自夸,medium,CET4
bond,/bɒnd/,n.,纽带；债券；v. 结合,medium,CET4
border,/ˈbɔːdər/,n.,边界；边境,easy,CET4
bother,/ˈbɒðər/,v.,打扰；费心,easy,CET4
bounce,/baʊns/,v.,弹起；反弹,medium,CET4
brand,/brænd/,n.,品牌；商标,easy,CET4
brave,/breɪv/,adj.,勇敢的,easy,CET4
breakthrough,/ˈbreɪkθruː/,n.,突破,medium,CET4
brief,/briːf/,adj.,简短的；n. 摘要,easy,CET4
brilliant,/ˈbrɪliənt/,adj.,杰出的；明亮的,medium,CET4
broad,/brɔːd/,adj.,宽阔的；广泛的,easy,CET4
budget,/ˈbʌdʒɪt/,n.,预算；v. 编制预算,easy,CET4
bunch,/bʌntʃ/,n.,束；串；一群,easy,CET4
burden,/ˈbɜːdn/,n.,负担；重担,medium,CET4
bureau,/ˈbjʊərəʊ/,n.,局；办事处,medium,CET4
burst,/bɜːst/,v.,爆发；破裂,easy,CET4
cabinet,/ˈkæbɪnət/,n.,内阁；橱柜,medium,CET4
cable,/ˈkeɪbl/,n.,电缆；缆绳,easy,CET4
calculate,/ˈkælkjuleɪt/,v.,计算；估计,medium,CET4
campaign,/kæmˈpeɪn/,n.,运动；战役,medium,CET4
campus,/ˈkæmpəs/,n.,校园,easy,CET4
cancel,/ˈkænsl/,v.,取消,easy,CET4
candidate,/ˈkændɪdət/,n.,候选人；应试者,medium,CET4
capable,/ˈkeɪpəbl/,adj.,有能力的,medium,CET4
captain,/ˈkæptɪn/,n.,船长；队长,easy,CET4
capture,/ˈkæptʃər/,v.,捕获；夺取；吸引,medium,CET4
career,/kəˈrɪər/,n.,职业；生涯,easy,CET4
cash,/kæʃ/,n.,现金；v. 兑现,easy,CET4
casual,/ˈkæʒuəl/,adj.,随便的；偶然的,medium,CET4
catalogue,/ˈkætəlɒɡ/,n.,目录,medium,CET4
category,/ˈkætəɡəri/,n.,类别；种类,medium,CET4
cautious,/ˈkɔːʃəs/,adj.,谨慎的,medium,CET4
celebrate,/ˈselɪbreɪt/,v.,庆祝；赞美,easy,CET4
census,/ˈsensəs/,n.,人口普查,medium,CET4
ceremony,/ˈserəməni/,n.,典礼；仪式,medium,CET4
certain,/ˈsɜːtn/,adj.,确定的；某些,easy,CET4
challenge,/ˈtʃælɪndʒ/,n.,挑战；v. 向……挑战,easy,CET4
channel,/ˈtʃænl/,n.,频道；海峡；渠道,easy,CET4
character,/ˈkærəktər/,n.,性格；角色；汉字,medium,CET4
charge,/tʃɑːdʒ/,v.,收费；指控；充电；n. 费用,easy,CET4
charity,/ˈtʃærəti/,n.,慈善；慈善机构,medium,CET4
chart,/tʃɑːt/,n.,图表,easy,CET4
cheat,/tʃiːt/,v.,欺骗；作弊,easy,CET4
chemical,/ˈkemɪkl/,adj.,化学的；n. 化学品,easy,CET4
chief,/tʃiːf/,adj.,主要的；n. 首领,easy,CET4
circumstance,/ˈsɜːkəmstəns/,n.,环境；情况,medium,CET4
civilization,/ˌsɪvəlaɪˈzeɪʃn/,n.,文明,medium,CET4
claim,/kleɪm/,v.,声称；索取；n. 索赔,medium,CET4
clarify,/ˈklærəfaɪ/,v.,澄清；阐明,medium,CET4
classic,/ˈklæsɪk/,adj.,经典的；n. 经典作品,medium,CET4
client,/ˈklaɪənt/,n.,客户；委托人,easy,CET4
climate,/ˈklaɪmət/,n.,气候,easy,CET4
clue,/kluː/,n.,线索；提示,easy,CET4
coach,/kəʊtʃ/,n.,教练；长途汽车,easy,CET4
collapse,/kəˈlæps/,v.,倒塌；崩溃,medium,CET4
colleague,/ˈkɒliːɡ/,n.,同事,easy,CET4
combine,/kəmˈbaɪn/,v.,结合；联合,medium,CET4
comfort,/ˈkʌmfət/,n.,舒适；安慰；v. 安慰,easy,CET4
commercial,/kəˈmɜːʃl/,adj.,商业的；n. 广告,medium,CET4
commit,/kəˈmɪt/,v.,犯（罪）；承诺；投入,medium,CET4
committee,/kəˈmɪti/,n.,委员会,medium,CET4
communicate,/kəˈmjuːnɪkeɪt/,v.,交流；传达,easy,CET4
community,/kəˈmjuːnəti/,n.,社区；团体,easy,CET4
compare,/kəmˈpeər/,v.,比较；对比,easy,CET4
compete,/kəmˈpiːt/,v.,竞争；比赛,medium,CET4
complain,/kəmˈpleɪn/,v.,抱怨；投诉,easy,CET4
complete,/kəmˈpliːt/,adj.,完整的；v. 完成,easy,CET4
complex,/ˈkɒmpleks/,adj.,复杂的；n. 综合体,medium,CET4
complicate,/ˈkɒmplɪkeɪt/,v.,使复杂化,medium,CET4
component,/kəmˈpəʊnənt/,n.,组成部分；部件,medium,CET4
compose,/kəmˈpəʊz/,v.,组成；创作,medium,CET4
concentrate,/ˈkɒnsntreɪt/,v.,集中；专心,medium,CET4
concept,/ˈkɒnsept/,n.,概念；观念,medium,CET4
concern,/kənˈsɜːn/,n.,关心；担忧；v. 涉及,medium,CET4
conclude,/kənˈkluːd/,v.,得出结论；结束,medium,CET4
concrete,/ˈkɒŋkriːt/,adj.,具体的；n. 混凝土,medium,CET4
condition,/kənˈdɪʃn/,n.,条件；状况,easy,CET4
conduct,/kənˈdʌkt/,v.,进行；指挥；n. 行为,medium,CET4
conference,/ˈkɒnfərəns/,n.,会议,medium,CET4
confidence,/ˈkɒnfɪdəns/,n.,信心；信任,easy,CET4
confirm,/kənˈfɜːm/,v.,确认；证实,medium,CET4
conflict,/ˈkɒnflɪkt/,n.,冲突；矛盾；v. 抵触,medium,CET4
confuse,/kənˈfjuːz/,v.,使困惑；混淆,medium,CET4
congratulate,/kənˈɡrætʃuleɪt/,v.,祝贺,medium,CET4
connect,/kəˈnekt/,v.,连接；联系,easy,CET4
consequence,/ˈkɒnsɪkwəns/,n.,后果；结果,medium,CET4
conservative,/kənˈsɜːvətɪv/,adj.,保守的,medium,CET4
consider,/kənˈsɪdər/,v.,考虑；认为,easy,CET4
consist,/kənˈsɪst/,v.,由……组成；在于,medium,CET4
constant,/ˈkɒnstənt/,adj.,持续的；恒定的,medium,CET4
construct,/kənˈstrʌkt/,v.,建造；构筑,medium,CET4
consult,/kənˈsʌlt/,v.,咨询；查阅,medium,CET4
consume,/kənˈsjuːm/,v.,消耗；消费,medium,CET4
contact,/ˈkɒntækt/,n.,联系；接触；v. 联系,easy,CET4
contain,/kənˈteɪn/,v.,包含；容纳,easy,CET4
contemporary,/kənˈtemprəri/,adj.,当代的；同时代的,medium,CET4
content,/ˈkɒntent/,n.,内容；满足；adj. 满意的,easy,CET4
contest,/ˈkɒntest/,n.,竞赛；比赛；v. 争夺,easy,CET4
context,/ˈkɒntekst/,n.,上下文；背景,medium,CET4
continent,/ˈkɒntɪnənt/,n.,大陆；洲,medium,CET4
contract,/ˈkɒntrækt/,n.,合同；v. 收缩,medium,CET4
contradict,/ˌkɒntrəˈdɪkt/,v.,反驳；与……矛盾,medium,CET4
contrary,/ˈkɒntrəri/,adj.,相反的；n. 反面,medium,CET4
contribute,/kənˈtrɪbjuːt/,v.,贡献；捐助；促成,medium,CET4
convenient,/kənˈviːniənt/,adj.,方便的,medium,CET4
convention,/kənˈvenʃn/,n.,惯例；大会；公约,medium,CET4
conversation,/ˌkɒnvəˈseɪʃn/,n.,谈话；会话,easy,CET4
convert,/kənˈvɜːt/,v.,转变；转换,medium,CET4
convince,/kənˈvɪns/,v.,使确信；说服,medium,CET4
cooperate,/kəʊˈɒpəreɪt/,v.,合作；协作,medium,CET4
cope,/kəʊp/,v.,应付；处理,medium,CET4
core,/kɔːr/,n.,核心；果核,medium,CET4
corporation,/ˌkɔːpəˈreɪʃn/,n.,公司；法人,medium,CET4
correspond,/ˌkɒrəˈspɒnd/,v.,符合；通信,medium,CET4
corrupt,/kəˈrʌpt/,adj.,腐败的；v. 腐蚀,medium,CET4
costume,/ˈkɒstjuːm/,n.,服装；戏装,medium,CET4
council,/ˈkaʊnsl/,n.,委员会；理事会,medium,CET4
courage,/ˈkʌrɪdʒ/,n.,勇气；胆量,easy,CET4
course,/kɔːs/,n.,课程；过程；路线,easy,CET4
craft,/krɑːft/,n.,工艺；手艺；v. 精心制作,medium,CET4
crash,/kræʃ/,v.,碰撞；坠毁；n. 撞击,easy,CET4
create,/kriˈeɪt/,v.,创造；创建,easy,CET4
credit,/ˈkredɪt/,n.,信用；学分；赞扬,medium,CET4
crime,/kraɪm/,n.,罪行；犯罪,easy,CET4
crisis,/ˈkraɪsɪs/,n.,危机,medium,CET4
criticize,/ˈkrɪtɪsaɪz/,v.,批评；指责,medium,CET4
crowd,/kraʊd/,n.,人群；v. 拥挤,easy,CET4
crucial,/ˈkruːʃl/,adj.,至关重要的,medium,CET4
culture,/ˈkʌltʃər/,n.,文化；教养,easy,CET4
cure,/kjʊər/,v.,治愈；n. 疗法,easy,CET4
curious,/ˈkjʊəriəs/,adj.,好奇的,medium,CET4
current,/ˈkʌrənt/,adj.,当前的；n. 水流；电流,medium,CET4
curriculum,/kəˈrɪkjələm/,n.,课程；全部课程,medium,CET4
custom,/ˈkʌstəm/,n.,风俗；习惯；顾客,easy,CET4
customer,/ˈkʌstəmər/,n.,顾客；客户,easy,CET4
cycle,/ˈsaɪkl/,n.,循环；自行车,easy,CET4
damage,/ˈdæmɪdʒ/,n.,损害；v. 损坏,easy,CET4
deadline,/ˈdedlaɪn/,n.,截止日期,medium,CET4
debate,/dɪˈbeɪt/,n.,辩论；争论,medium,CET4
debt,/det/,n.,债务；欠款,easy,CET4
decade,/ˈdekeɪd/,n.,十年,medium,CET4
decay,/dɪˈkeɪ/,v.,腐烂；衰退,medium,CET4
deceive,/dɪˈsiːv/,v.,欺骗,medium,CET4
declare,/dɪˈkleər/,v.,宣布；声明,easy,CET4
decline,/dɪˈklaɪn/,v.,下降；拒绝；n. 衰退,medium,CET4
decorate,/ˈdekəreɪt/,v.,装饰；布置,easy,CET4
decrease,/dɪˈkriːs/,v.,减少；n. 减少,medium,CET4
defeat,/dɪˈfiːt/,v.,击败；n. 失败,easy,CET4
defend,/dɪˈfend/,v.,保卫；辩护,easy,CET4
define,/dɪˈfaɪn/,v.,定义；界定,medium,CET4
degree,/dɪˈɡriː/,n.,程度；学位；度,easy,CET4
delay,/dɪˈleɪ/,v.,推迟；n. 耽搁,easy,CET4
deliberate,/dɪˈlɪbərət/,adj.,故意的；深思熟虑的,medium,CET4
delicate,/ˈdelɪkət/,adj.,精致的；脆弱的；微妙的,medium,CET4
deliver,/dɪˈlɪvər/,v.,递送；发表；交付,easy,CET4
demand,/dɪˈmɑːnd/,v.,要求；n. 需求,easy,CET4
democracy,/dɪˈmɒkrəsi/,n.,民主,medium,CET4
deny,/dɪˈnaɪ/,v.,否认；拒绝,medium,CET4
department,/dɪˈpɑːtmənt/,n.,部门；系,easy,CET4
depend,/dɪˈpend/,v.,依赖；取决于,easy,CET4
deposit,/dɪˈpɒzɪt/,n.,存款；押金；v. 存放,medium,CET4
depress,/dɪˈpres/,v.,使沮丧；使萧条,medium,CET4
describe,/dɪˈskraɪb/,v.,描述；形容,easy,CET4
deserve,/dɪˈzɜːv/,v.,应得；值得,medium,CET4
design,/dɪˈzaɪn/,v.,设计；n. 设计,easy,CET4
desire,/dɪˈzaɪər/,n.,渴望；欲望；v. 渴望,easy,CET4
desperate,/ˈdespərət/,adj.,绝望的；不顾一切的,medium,CET4
despite,/dɪˈspaɪt/,prep.,尽管,medium,CET4
destination,/ˌdestɪˈneɪʃn/,n.,目的地,medium,CET4
destroy,/dɪˈstrɔɪ/,v.,破坏；摧毁,easy,CET4
detail,/ˈdiːteɪl/,n.,细节；详情,easy,CET4
detect,/dɪˈtekt/,v.,察觉；发现,medium,CET4
determine,/dɪˈtɜːmɪn/,v.,决定；决心,medium,CET4
develop,/dɪˈveləp/,v.,发展；开发；培养,easy,CET4
device,/dɪˈvaɪs/,n.,设备；装置；手段,medium,CET4
devote,/dɪˈvəʊt/,v.,奉献；致力于,medium,CET4
diagram,/ˈdaɪəɡræm/,n.,图表；示意图,medium,CET4
digital,/ˈdɪdʒɪtl/,adj.,数字的；数码的,easy,CET4
dignity,/ˈdɪɡnəti/,n.,尊严；庄重,medium,CET4
dilemma,/dɪˈlemə/,n.,困境；进退两难,medium,CET4
dimension,/daɪˈmenʃn/,n.,尺寸；方面；维度,medium,CET4
diploma,/dɪˈpləʊmə/,n.,毕业文凭；证书,medium,CET4
direct,/dəˈrekt/,adj.,直接的；v. 指导；导演,easy,CET4
disappoint,/ˌdɪsəˈpɔɪnt/,v.,使失望,medium,CET4
disaster,/dɪˈzɑːstər/,n.,灾难；灾祸,medium,CET4
discipline,/ˈdɪsəplɪn/,n.,纪律；学科；v. 训练,medium,CET4
discount,/ˈdɪskaʊnt/,n.,折扣,medium,CET4
discourage,/dɪsˈkʌrɪdʒ/,v.,使气馁；劝阻,medium,CET4
discover,/dɪˈskʌvər/,v.,发现,easy,CET4
discuss,/dɪˈskʌs/,v.,讨论,easy,CET4
disease,/dɪˈziːz/,n.,疾病,easy,CET4
dismiss,/dɪsˈmɪs/,v.,解雇；解散；不予考虑,medium,CET4
display,/dɪˈspleɪ/,v.,展示；n. 展览；显示,medium,CET4
distance,/ˈdɪstəns/,n.,距离；远方,easy,CET4
distinct,/dɪˈstɪŋkt/,adj.,明显的；不同的,medium,CET4
distinguish,/dɪˈstɪŋɡwɪʃ/,v.,区分；辨别,medium,CET4
distribute,/dɪˈstrɪbjuːt/,v.,分发；分配,medium,CET4
disturb,/dɪˈstɜːb/,v.,打扰；使不安,medium,CET4
diverse,/daɪˈvɜːs/,adj.,多样的；不同的,medium,CET4
divide,/dɪˈvaɪd/,v.,分开；除,easy,CET4
document,/ˈdɒkjumənt/,n.,文件；文档,easy,CET4
domestic,/dəˈmestɪk/,adj.,国内的；家庭的,medium,CET4
donate,/dəʊˈneɪt/,v.,捐赠,medium,CET4
dormitory,/ˈdɔːmətri/,n.,宿舍,easy,CET4
doubt,/daʊt/,n.,怀疑；v. 怀疑,easy,CET4
draft,/drɑːft/,n.,草稿；v. 起草,medium,CET4
dramatic,/drəˈmætɪk/,adj.,戏剧性的；巨大的,medium,CET4
drawback,/ˈdrɔːbæk/,n.,缺点；不利条件,medium,CET4
dream,/driːm/,n.,梦想；v. 做梦,easy,CET4
drift,/drɪft/,v.,漂流；n. 漂移,medium,CET4
due,/djuː/,adj.,到期的；应有的,easy,CET4
dull,/dʌl/,adj.,乏味的；迟钝的；阴沉的,easy,CET4
dump,/dʌmp/,v.,倾倒；丢弃；n. 垃圾场,medium,CET4
durable,/ˈdjʊərəbl/,adj.,耐用的；持久的,medium,CET4
duty,/ˈdjuːti/,n.,责任；义务；关税,easy,CET4
dynamic,/daɪˈnæmɪk/,adj.,动态的；有活力的,medium,CET4
earn,/ɜːn/,v.,赚得；赢得,easy,CET4
earthquake,/ˈɜːθkweɪk/,n.,地震,medium,CET4
ease,/iːz/,n.,容易；安逸；v. 缓解,easy,CET4
economy,/ɪˈkɒnəmi/,n.,经济；节约,easy,CET4
edge,/edʒ/,n.,边缘；刀刃,easy,CET4
educate,/ˈedʒukeɪt/,v.,教育；培养,easy,CET4
effect,/ɪˈfekt/,n.,效果；影响,easy,CET4
efficient,/ɪˈfɪʃnt/,adj.,高效的；效率高的,medium,CET4
effort,/ˈefət/,n.,努力；尝试,easy,CET4
elderly,/ˈeldəli/,adj.,年长的；老年的,easy,CET4
elect,/ɪˈlekt/,v.,选举；选择,medium,CET4
elementary,/ˌelɪˈmentri/,adj.,基本的；初级的,medium,CET4
eliminate,/ɪˈlɪmɪneɪt/,v.,消除；淘汰,medium,CET4
embarrass,/ɪmˈbærəs/,v.,使尴尬,medium,CET4
emergency,/ɪˈmɜːdʒənsi/,n.,紧急情况,medium,CET4
emotion,/ɪˈməʊʃn/,n.,情感；情绪,easy,CET4
emphasize,/ˈemfəsaɪz/,v.,强调；着重,medium,CET4
empire,/ˈempaɪər/,n.,帝国,medium,CET4
employ,/ɪmˈplɔɪ/,v.,雇用；使用,easy,CET4
enable,/ɪˈneɪbl/,v.,使能够；使可能,medium,CET4
encounter,/ɪnˈkaʊntər/,v.,遭遇；遇到；n. 相遇,medium,CET4
encourage,/ɪnˈkʌrɪdʒ/,v.,鼓励；促进,easy,CET4
endure,/ɪnˈdjʊər/,v.,忍受；持续,medium,CET4
energy,/ˈenədʒi/,n.,能量；精力,easy,CET4
engage,/ɪnˈɡeɪdʒ/,v.,从事；参与；吸引,medium,CET4
engine,/ˈendʒɪn/,n.,发动机；引擎,easy,CET4
enhance,/ɪnˈhɑːns/,v.,提高；增强,medium,CET4
enormous,/ɪˈnɔːməs/,adj.,巨大的,medium,CET4
ensure,/ɪnˈʃʊər/,v.,确保；保证,medium,CET4
enterprise,/ˈentəpraɪz/,n.,企业；事业,medium,CET4
enthusiasm,/ɪnˈθjuːziæzəm/,n.,热情；热忱,medium,CET4
entire,/ɪnˈtaɪər/,adj.,整个的；全部的,easy,CET4
environment,/ɪnˈvaɪrənmənt/,n.,环境,easy,CET4
equal,/ˈiːkwəl/,adj.,相等的；平等的；v. 等于,easy,CET4
equip,/ɪˈkwɪp/,v.,装备；配备,medium,CET4
escape,/ɪˈskeɪp/,v.,逃跑；逃避,easy,CET4
especially,/ɪˈspeʃəli/,adv.,尤其；特别,easy,CET4
essay,/ˈeseɪ/,n.,文章；散文,medium,CET4
essential,/ɪˈsenʃl/,adj.,必不可少的；本质的,medium,CET4
establish,/ɪˈstæblɪʃ/,v.,建立；确立,medium,CET4
estimate,/ˈestɪmeɪt/,v.,估计；n. 估计,medium,CET4
evaluate,/ɪˈvæljueɪt/,v.,评估；评价,medium,CET4
eventually,/ɪˈventʃuəli/,adv.,最终；终于,medium,CET4
evidence,/ˈevɪdəns/,n.,证据；迹象,medium,CET4
evident,/ˈevɪdənt/,adj.,明显的,medium,CET4
exact,/ɪɡˈzækt/,adj.,精确的；准确的,easy,CET4
examine,/ɪɡˈzæmɪn/,v.,检查；考查,easy,CET4
excellent,/ˈeksələnt/,adj.,优秀的；极好的,easy,CET4
exchange,/ɪksˈtʃeɪndʒ/,v.,交换；n. 兑换；交流,easy,CET4
excite,/ɪkˈsaɪt/,v.,使兴奋；激发,easy,CET4
exclude,/ɪkˈskluːd/,v.,排除；不包括,medium,CET4
excuse,/ɪkˈskjuːz/,v.,原谅；n. 借口,easy,CET4
exercise,/ˈeksəsaɪz/,n.,锻炼；练习；v. 锻炼,easy,CET4
exhaust,/ɪɡˈzɔːst/,v.,使精疲力竭；耗尽；n. 废气,medium,CET4
exhibit,/ɪɡˈzɪbɪt/,v.,展览；展出；n. 展品,medium,CET4
exist,/ɪɡˈzɪst/,v.,存在；生存,easy,CET4
expand,/ɪkˈspænd/,v.,扩大；膨胀,medium,CET4
expect,/ɪkˈspekt/,v.,期望；预料,easy,CET4
expense,/ɪkˈspens/,n.,花费；开支,medium,CET4
experience,/ɪkˈspɪəriəns/,n.,经验；经历,easy,CET4
experiment,/ɪkˈsperɪmənt/,n.,实验；试验,easy,CET4
expert,/ˈekspɜːt/,n.,专家；adj. 熟练的,easy,CET4
explain,/ɪkˈspleɪn/,v.,解释；说明,easy,CET4
explode,/ɪkˈspləʊd/,v.,爆炸；爆发,medium,CET4
explore,/ɪkˈsplɔːr/,v.,探索；勘探,medium,CET4
export,/ɪkˈspɔːt/,v.,出口；n. 出口商品,medium,CET4
expose,/ɪkˈspəʊz/,v.,暴露；揭露；接触,medium,CET4
express,/ɪkˈspres/,v.,表达；n. 快车；快递,easy,CET4
extend,/ɪkˈstend/,v.,延伸；扩展,easy,CET4
extreme,/ɪkˈstriːm/,adj.,极端的；n. 极端,medium,CET4
fabric,/ˈfæbrɪk/,n.,织物；结构,medium,CET4
facility,/fəˈsɪləti/,n.,设施；设备；便利,medium,CET4
factor,/ˈfæktər/,n.,因素；因子,medium,CET4
faculty,/ˈfæklti/,n.,全体教员；才能,medium,CET4
fail,/feɪl/,v.,失败；不及格,easy,CET4
faint,/feɪnt/,adj.,模糊的；虚弱的；v. 昏倒,easy,CET4
fair,/feər/,adj.,公平的；晴朗的；n. 集市,easy,CET4
faith,/feɪθ/,n.,信念；信任,easy,CET4
fame,/feɪm/,n.,名声；声望,easy,CET4
familiar,/fəˈmɪliər/,adj.,熟悉的,easy,CET4
